"Month,""Passengers"""
1949-01,120
1949-02,141
1949-03,156
1949-04,160
1949-05,165
1949-06,168
1949-07,140
1949-08,115
1949-09,90
1949-10,120
1949-11,137
1949-12,148
1950-01,155
1950-02,156
1950-03,140
1950-04,68
1950-05,80
1950-06,90
1950-07,95
1950-08,110
1950-09,158
1950-10,133
1950-11,120
1950-12,110
1951-01,115
1951-02,120
1951-03,131
1951-04,140
1951-05,162
1951-06,178
1951-07,180
1951-08,181
1951-09,184
1951-10,162
1951-11,170
1951-12,200
1952-01,223
1952-02,210
1952-03,230
1952-04,211
1952-05,183
1952-06,160
1952-07,150
1952-08,180
1952-09,209
1952-10,191
1952-11,172
1952-12,156
1953-01,140
1953-02,132
1953-03,136
1953-04,135
1953-05,129
1953-06,143
1953-07,164
1953-08,172
1953-09,160
1953-10,119
1953-11,118
1953-12,120
1954-01,142
1954-02,108
1954-03,90
1954-04,98
1954-05,87
1954-06,70
1954-07,73
1954-08,115
1954-09,140
1954-10,140
1954-11,160
1954-12,185
1955-01,170
1955-02,121
1955-03,111
1955-04,129
1955-05,114
1955-06,115
1955-07,117
1955-08,118
1955-09,130
1955-10,100
1955-11,97
1955-12,78
1956-01,84
1956-02,77
1956-03,61
1956-04,59
1956-05,60
1956-06,74
1956-07,114
1956-08,132
1956-09,155
1956-10,192
1956-11,181
1956-12,214
1957-01,219
1957-02,221
1957-03,220
1957-04,171
1957-05,141
1957-06,132
1957-07,128
1957-08,130
1957-09,122
1957-10,147
1957-11,105
1957-12,60
1958-01,54
1958-02,87
1958-03,99
1958-04,101
1958-05,163
1958-06,124
1958-07,181
1958-08,199
1958-09,211
1958-10,221
1958-11,225
1958-12,189
1959-01,169
1959-02,162
1959-03,200
1959-04,221
1959-05,287
1959-06,315
1959-07,411
1959-08,421
1959-09,432
1959-10,320
1959-11,311
1959-12,310
1960-01,240
1960-02,211
1960-03,218
1960-04,199
1960-05,172
1960-06,135
1960-07,122
1960-08,106
1960-09,108
1960-10,181
1960-11,191
1960-12,241
